url,title,price,agency_name,agency_contact_number,governorate,area,property_type,property_size,rate_per_sqft,rooms,bathrooms,roads,parking,built_up_area,classification
https://baity.bh/properties/villa-in-riffa-41087,Villa in Riffa,200000,Best Location,38868838,Southern,Riffa,VILLA,210,88.5,5,5,1,2,420,RA
https://baity.bh/properties/land-in-al-hidd-35185,Land in Al Hidd,113135,Al Mahd Real Estate,39919966,Muharraq,Al Hidd,PLOT,429,24.5,,,1,,,RA
https://baity.bh/properties/land-in-sanad-32708,Land in Sanad,121986,Majestic Properties,39655161,Capital,Sanad,PLOT,472.2,24,,,1,,,RB
https://baity.bh/properties/land-in-jid-hafs-37193,Land in Jid Hafs,168500,Best Spot Real Estate,77991118,Capital,Jid Hafs,PLOT,540,29,,,2,,,RA
https://baity.bh/properties/land-in-sanabis-33482,Land in Sanabis,78000,Fajar AlKhalij Real Estate,17778866,Capital,Sanabis,PLOT,202.8,35.7,,,1,,,RHB
https://baity.bh/properties/land-in-hamala-31582,Land in Hamala,105000,Taiba Real Estate,17610600,Northern,Hamala,PLOT,390.3,25,,,2,,,RHA
https://baity.bh/properties/land-in-jid-ali-13735,Land in Jid Ali,149085,Grnata Real Estate,97336005571,Capital,Jid Ali,PLOT,577.1,24,,,1,,,RB
https://baity.bh/properties/land-in-diyar-al-muharraq-27882,Land in Diyar Al Muharraq,92430,Alforsa Real Estate,38821400,Muharraq,Diyar Al Muharraq,PLOT,277,31,,,1,,,RHA
https://baity.bh/properties/land-in-hamala-30778,Land in Hamala,80135,Seyaj Real Estate,33323382,Northern,Hamala,PLOT,264,28.2,,,2,,,RHA
https://baity.bh/properties/villa-in-hamala-29094,Villa in Hamala,112000,Burooj Alsama Real Estate,17791419,Northern,Hamala,VILLA,162,62.5,4,4,1,2,300,RHA
https://baity.bh/properties/villa-in-saar-22692,Villa in Saar,480000,Majestic Properties,39655161,Northern,Saar,VILLA,546,81.7,6,8,2,3,850,
https://baity.bh/properties/apartment-in-busaiteen-41398,Apartment in Busaiteen,30000,Al Mahd Real Estate,39919966,Muharraq,Busaiteen,APARTMENT,58.99,47.2,1,1,,0,,
https://baity.bh/properties/land-in-bani-jamra-23457,Land in Bani Jamra,149189,Janabiya Gate Real Estate,38302990,Northern,Bani Jamra,PLOT,462,30,,,2,,,RB
